img_seq_num,arrival_sec
0,1786399342.086096
1,1786399342.564998
2,1786399342.996732
3,1786399343.371483
4,1786399343.703077
5,1786399344.031412
6,1786399344.351026
7,1786399344.650393
8,1786399344.851290
9,1786399344.976898
10,1786399345.083010
11,1786399345.193986
12,1786399345.301306
13,1786399345.417266
14,1786399345.514827
15,1786399345.730561
16,1786399345.827088
17,1786399345.937959
18,1786399346.040736
19,1786399346.257820
20,1786399346.380364
21,1786399346.593789
22,1786399346.717413
23,1786399347.036279
24,1786399347.154770
25,1786399347.506090
26,1786399347.717246
27,1786399348.054718
28,1786399348.169799
29,1786399348.287155
30,1786399348.409888
31,1786399348.521826
32,1786399348.641031
33,1786399348.744482
34,1786399348.844298
35,1786399348.969089
36,1786399349.213939
37,1786399349.345986
38,1786399349.443258
39,1786399349.588428
40,1786399350.056888
41,1786399350.193799
42,1786399350.402609
43,1786399350.486846
44,1786399350.767515
45,1786399351.200669
46,1786399351.919179
47,1786399352.177122
48,1786399353.793949
49,1786399353.891515
50,1786399354.082405
51,1786399354.211490
52,1786399354.334184
53,1786399354.589501
54,1786399354.733265
55,1786399354.851745
56,1786399355.014264
57,1786399355.122668
58,1786399355.275168
59,1786399355.498415
60,1786399355.638707
61,1786399355.769051
62,1786399355.894308
63,1786399356.040116
64,1786399356.160357
65,1786399356.278777
66,1786399356.380411
67,1786399356.499973
68,1786399356.633034
69,1786399356.855003
70,1786399357.109608
71,1786399357.349813
72,1786399357.475131
73,1786399357.605417
74,1786399357.758809
75,1786399357.877017
76,1786399358.048564
77,1786399358.198183
78,1786399358.417710
79,1786399358.782028
80,1786399358.895861
81,1786399359.038033
82,1786399359.381319
83,1786399359.534724
84,1786399359.787092
85,1786399359.891997
86,1786399360.033905
87,1786399360.159244
88,1786399360.308619
89,1786399360.679610
90,1786399360.813837
91,1786399360.933746
92,1786399361.057148
93,1786399361.436736
94,1786399361.561881
95,1786399361.695358
96,1786399361.926090
97,1786399362.053095
98,1786399362.192896
99,1786399362.310190
100,1786399362.462681
101,1786399362.613129
102,1786399362.725224
103,1786399362.868017
104,1786399363.005545
105,1786399363.161512
106,1786399363.252548
107,1786399363.389246
108,1786399363.504690
109,1786399363.659283
110,1786399363.778847
111,1786399363.906406
112,1786399364.037532
113,1786399364.278910
114,1786399364.412965
115,1786399364.566335
116,1786399364.665459
117,1786399364.815802
118,1786399364.947422
119,1786399365.053118
120,1786399365.175937
121,1786399365.308977
122,1786399365.442048
123,1786399365.704583
124,1786399365.811557
125,1786399365.966024
126,1786399366.157788
127,1786399366.280764
128,1786399366.433627
129,1786399366.572900
130,1786399366.660842
131,1786399366.906143
132,1786399367.132299
133,1786399367.285213
134,1786399367.521002
135,1786399367.666309
136,1786399367.775338
137,1786399367.916534
138,1786399368.187628
139,1786399368.283309
140,1786399368.537245
141,1786399368.644366
142,1786399368.890677
143,1786399369.036699
144,1786399369.154150
145,1786399369.306852
146,1786399369.414038
147,1786399369.644299
148,1786399369.800787
149,1786399370.018010
150,1786399370.164622
151,1786399370.433337
152,1786399370.537939
153,1786399370.666586
154,1786399370.921712
155,1786399371.069100
156,1786399371.289466
157,1786399371.404377
158,1786399371.525911
159,1786399371.661230
160,1786399371.805274
161,1786399371.936695
162,1786399372.053792
163,1786399372.213348
164,1786399372.328049
165,1786399372.473697
166,1786399372.715518
167,1786399372.892292
168,1786399372.955959
169,1786399373.090768
170,1786399373.210802
171,1786399373.439347
172,1786399373.576616
173,1786399373.676546
174,1786399373.823814
175,1786399374.059190
176,1786399374.173187
177,1786399374.556184
178,1786399374.700476
179,1786399374.914671
180,1786399375.040618
181,1786399375.166569
182,1786399375.303027
183,1786399375.429934
184,1786399375.559762
185,1786399375.716831
186,1786399375.815962
187,1786399376.095870
188,1786399376.350011
189,1786399376.462916
190,1786399376.574260
191,1786399376.719409
192,1786399376.836304
193,1786399377.113883
194,1786399377.207495
195,1786399377.362735
196,1786399377.503625
197,1786399377.647756
198,1786399377.789296
199,1786399377.922279
200,1786399378.068758
201,1786399378.180614
202,1786399378.436614
203,1786399378.536078
204,1786399378.683786
205,1786399378.817024
206,1786399378.956921
207,1786399379.083285
208,1786399379.209386
209,1786399379.484760
210,1786399379.613475
211,1786399379.840041
212,1786399379.954193
213,1786399380.074306
214,1786399380.221990
215,1786399380.368311
216,1786399380.486598
